title,release_year,duration,calification,cast
Nido de ratas,1954,108,8.1,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']"
Logan. Wolverine,2017,137,8.1,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen', 'Boyd Holbrook']"
Fresas silvestres,1957,92,8.1,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand']"
Rocky,1976,120,8.1,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']"
El tercer hombre,1949,104,8.1,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']"
Cuentos de Tokio,1953,137,8.1,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura', 'Setsuko Hara']"
En primera plana,2015,129,8.1,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']"
El gran Lebowski: Identidad peligrosa,1998,117,8.1,"['Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi']"
Terminator,1984,107,8.1,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield']"
Piratas del Caribe: La maldición de la Perla Negra,2003,143,8.1,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']"
